nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
11211,Spring Mill State Park,2011,failed: pred,5/28/2011,6/4/2011,4,0,0,549838,4286646
11212,East Bogs,2011,failed: pred,5/31/2011,6/2/2011,4,0,0,514812,4293894
11213,Spring Mill State Park,2011,failed: pred,5/27/2011,5/31/2011,2,0,0,549431,4286477
11214,Area 58,2011,failed: pred,5/23/2011,6/14/2011,4,0,0,634076,4300821
11215,Area 58,2011,failed: weather,5/29/2011,5/30/2011,4,0,0,633916,4300597
11217,Seed Tick,2011,failed: pred,6/1/2011,6/19/2011,3,0,1,510634,4290063
11218,Seed Tick,2011,failed: pred,5/18/2011,6/6/2011,3,0,0,510644,4289419
11219,Seed Tick,2011,failed: pred,6/2/2011,6/2/2011,4,0,0,510696,4289406
11220,Area 41,2011,failed: pred,5/30/2011,5/30/2011,4,0,0,641084,4310263
11221,Martin State Forest,2011,FLEDGED,5/29/2011,6/21/2011,4,1,1,512499,4313423
11222,Area 7,2011,FLEDGED,5/8/2011,6/1/2011,3,3,0,635306,4321061
11223,Spring Mill State Park,2011,failed: pred,6/4/2011,6/13/2011,4,0,0,549827,4286462
11224,Spring Mill State Park,2011,FLEDGED,5/31/2011,6/25/2011,3,3,1,549639,4286458
11225,Spring Mill State Park,2011,FLEDGED,5/16/2011,6/7/2011,3,2,0,549888,4286349
11226,McCormick's Creek State Park,2011,failed: pred,5/31/2011,6/20/2011,3,0,1,524604,4350552
11227,McCormick's Creek State Park,2011,failed: unknown,5/31/2011,6/2/2011,3,0,1,524154,4350056
11228,McCormick's Creek State Park,2011,FLEDGED,5/26/2011,6/19/2011,4,3,1,524537.4803,4350559.189
11229,McCormick's Creek State Park,2011,FLEDGED,5/29/2011,6/22/2011,3,2,1,524723,4350323
11230,McCormick's Creek State Park,2011,FLEDGED,5/29/2011,6/21/2011,2,2,2,524613,4350743
11231,McCormick's Creek State Park,2011,failed: pred,6/4/2011,6/16/2011,3,0,0,524656,4350494
11232,Spring Mill State Park,2011,failed: pred,6/20/2011,7/5/2011,2,0,1,549751,4286317
11233,Area 7,2011,failed: pred,6/5/2011,6/6/2011,4,0,0,635087,4321004
