point,date,time,first_det,song,distance
139,6/17/2011,494,6,1,95
139,6/19/2012,498,0,1,50
139,7/6/2011,583,0,1,45
139,7/5/2012,400,0,1,45
139,7/5/2012,400,4,1,70
140,6/17/2011,513,0,1,30
140,7/5/2012,419,1,1,50
140,7/7/2013,482,0,1,80
140,7/5/2012,419,0,1,80
140,6/17/2011,513,0,1,35
140,7/7/2013,482,0,1,75
140,7/4/2011,446,0,1,50
140,6/19/2012,521,5,1,100
140,7/4/2011,446,0,1,15
140,6/25/2014,425,0,1,100
140,6/3/2012,465,0,1,40
140,6/18/2013,452,0,1,35
140,7/4/2011,446,0,1,20
140,7/4/2011,446,2,1,100
141,6/18/2013,472,0,1,25
141,6/1/2011,427,0,1,35
141,6/2/2013,464,7,1,70
141,7/7/2013,461,0,1,70
141,6/3/2012,443,3,1,35
141,7/12/2014,399,0,1,85
141,7/5/2012,435,7,1,60
141,6/25/2014,449,0,0,20
141,6/2/2013,464,0,1,40
141,6/17/2011,531,0,1,25
141,6/3/2012,443,0,1,30
141,6/18/2013,472,1,1,40
141,7/7/2013,461,0,1,30
141,6/25/2014,449,0,1,90
141,6/17/2011,531,0,1,85
141,6/17/2011,531,8,0,20
141,6/17/2011,531,4,1,70
142,6/17/2011,558,0,1,80
142,6/26/2014,403,1,1,90
142,6/19/2012,569,0,1,45
142,6/1/2011,410,2,1,100
142,6/26/2014,403,0,1,50
142,6/1/2011,410,7,1,20
142,6/18/2013,497,0,1,35
142,6/14/2014,414,0,1,90
142,7/5/2012,453,3,1,90
142,6/2/2013,442,0,1,45
142,7/7/2013,442,0,1,25
142,7/7/2013,442,0,1,95
142,6/25/2014,473,0,1,15
142,7/4/2011,405,0,1,70
143,6/2/2013,505,1,1,85
143,6/1/2011,480,0,1,45
143,6/17/2011,443,0,1,90
143,7/6/2011,404,6,1,40
143,6/2/2013,505,3,1,40
143,6/25/2014,381,1,1,100
143,6/25/2014,381,2,1,65
143,6/18/2013,430,0,1,40
143,7/6/2011,404,0,1,70
143,6/18/2013,430,0,1,60
143,7/7/2013,503,0,1,85
143,6/26/2014,457,0,0,40
143,6/19/2012,452,0,1,95
143,6/19/2012,452,0,1,55
143,7/6/2011,404,0,1,60
143,6/17/2011,443,4,0,40
143,7/5/2012,469,0,1,40
143,6/3/2012,540,0,1,90
143,6/19/2012,452,2,1,90
143,6/14/2014,492,5,1,90
143,6/26/2014,457,5,1,90
143,7/5/2012,469,0,1,90
143,6/2/2013,505,0,1,80
144,6/3/2012,512,0,1,90
144,6/14/2014,396,0,1,85
144,6/17/2011,417,1,1,95
144,7/5/2012,382,9,1,60
144,6/3/2012,512,5,1,50
144,7/12/2014,513,0,0,25
144,6/2/2013,524,0,1,45
144,7/12/2014,513,0,1,100
144,6/1/2011,502,7,0,40
144,7/6/2011,425,0,1,35
144,7/6/2011,425,0,1,60
144,6/14/2014,396,0,1,65
144,7/12/2014,513,0,1,70
144,7/5/2012,382,0,1,50
144,6/26/2014,509,6,0,45
144,6/1/2011,502,2,1,75
144,6/18/2013,408,0,1,35
144,7/5/2012,382,0,1,70
144,6/26/2014,509,0,1,65
144,6/19/2012,476,0,1,95
144,6/19/2012,476,4,1,90
145,7/7/2013,568,0,1,20
145,6/18/2013,384,2,1,80
